Ssn,Name,Phone,Email,Password,Location,age,IsAuth,Sigungu,sido,x,y
525776-200726,원연희,010-2215-5156,655824@naver.com,983527,천안군,69,0,340013,340000,126.40407,36.31117
571407-212938,오승율,010-5059-9724,234299@naver.com,767829,익산시,64,0,350300,350000,126.76629,35.77907
881207-111460,김상온,010-8352-8340,161827@naver.com,265241,남양주시,33,1,311500,310000,126.4625,35.58607
985608-164253,조윤승,010-2749-4210,705355@naver.com,118434,창원마산합포구,23,0,380702,380000,127.73825,36.77459
679996-221570,최가채,010-9573-6564,170667@naver.com,139176,부천원미구,54,0,310303,310000,128.51196,36.6709
682243-267918,조조이,010-2901-9421,112052@naver.com,126779,수원팔달구,53,0,310603,310000,128.94524,36.38288
901533-137287,배선이,010-2961-2464,873554@naver.com,504472,부안군,31,0,350005,350000,128.3095,36.61471
504675-124683,노슬빈,010-9144-1347,914480@naver.com,330509,곡성군,71,0,360003,360000,126.92505,36.26028
655631-140598,손진하,010-5743-4673,444378@naver.com,287270,구리시,56,1,311000,310000,128.73495,36.59845
681618-194887,임지미,010-7921-9834,959181@naver.com,528521,신안군,53,0,360012,360000,126.98253,35.90746
452199-238215,탁영지,010-8881-2423,932031@naver.com,81815,김해군,76,1,380004,380000,127.4177,35.32764
940096-186721,한해재,010-7650-0752,556682@naver.com,304809,인천남동구,27,0,220006,220000,127.28669,37.6166
952020-243249,황아하,010-7499-7519,827086@naver.com,215086,부산남구,26,0,210001,210000,126.24778,35.9433
759370-196423,방다송,010-8036-9819,371311@naver.com,353596,대구북구,46,0,230003,230000,127.98026,36.21874
444738-157068,표병호,010-3073-5102,895625@naver.com,690531,울산울주군,77,0,260100,260000,126.85828,36.55756
673754-286392,권유인,010-8578-5609,492570@naver.com,373753,서귀포시,54,0,390100,390000,128.09415,37.44046
817905-267823,이영우,010-1980-8242,438100@naver.com,227802,거제시,40,1,381000,380000,128.11224,36.15897
587822-222756,신세호,010-6610-4444,123104@naver.com,913432,관악구,63,0,110004,110000,127.15308,37.58448
958996-119365,이성현,010-2481-4856,488858@naver.com,547727,해남군,26,0,360021,360000,127.67339,37.2196
654028-134875,고가지,010-6032-5475,964706@naver.com,11558,순천시,56,1,360400,360000,128.622,37.65066
432225-125691,구이아,010-3004-4560,745660@naver.com,170476,대구달서구,78,0,230007,230000,126.54225,37.59187
638049-116286,오양세,010-1787-5306,808072@naver.com,521696,부산사상구,58,1,210015,210000,126.73063,36.6637
797115-290012,도효성,010-7854-4065,531308@naver.com,713240,진도군,42,1,360019,360000,128.40436,36.08222
905594-184773,추비름,010-4386-3401,85447@naver.com,509398,시흥시,31,0,310006,310000,127.37126,35.56674
958272-167466,조의인,010-9807-6863,53961@naver.com,792704,인천남구,26,1,220001,220000,128.62563,36.25235
989945-228260,노해윤,010-2469-3897,805545@naver.com,162417,순천시,23,0,360400,360000,127.44844,37.20395
739712-266761,조슬림,010-7915-6580,488984@naver.com,306683,부천소사구,48,0,310301,310000,127.08918,37.96157
507682-233743,곽근유,010-8994-7032,574388@naver.com,598156,화천군,71,0,320014,320000,128.74542,36.41748
528887-288390,방병정,010-1644-5142,422286@naver.com,915909,대전대덕구,69,0,250002,250000,126.50954,36.84591
841694-128034,석서재,010-3489-7643,180906@naver.com,74826,영암군,37,1,360015,360000,127.25009,36.1848
925618-186157,고시솔,010-2625-1571,715353@naver.com,564271,무주군,29,0,350004,350000,128.57667,35.73386
653815-121562,장연이,010-7829-8196,31314@naver.com,51906,파주시,56,1,312200,310000,126.25171,35.996
935896-158627,주세재,010-8071-0150,755284@naver.com,755125,의령군,28,1,380011,380000,128.5236,35.12764
562217-236953,도근윤,010-5085-2192,806775@naver.com,582209,은평구,65,0,110015,110000,127.79965,35.58859
688946-292475,남한림,010-5496-7129,357082@naver.com,210315,무주군,53,0,350004,350000,127.73585,36.41911
480191-227628,구아미,010-5417-9724,888574@naver.com,982974,부산수영구,73,1,210014,210000,126.51294,35.1023
989879-203196,곽동란,010-7177-0029,722333@naver.com,321176,곡성군,23,0,360003,360000,127.96984,37.92493
798971-290663,곽근리,010-7388-1298,815023@naver.com,128603,관악구,42,1,110004,110000,128.1799,35.04944
458852-120859,염승신,010-8296-1882,451305@naver.com,945218,군산시,76,1,350100,350000,127.95666,36.46719
930181-185654,나교한,010-4587-9882,620212@naver.com,872546,안양동안구,28,0,310702,310000,128.02753,36.83989
762381-123441,정한임,010-5678-0912,137617@naver.com,125077,하남시,45,0,311300,310000,126.80382,36.53581
628843-270801,고규이,010-3377-0009,353278@naver.com,563322,순천시,59,1,360400,360000,127.71197,36.9448
870196-126975,양률율,010-9021-1668,808227@naver.com,798810,천안동남구,34,1,340202,340000,128.40899,36.73999
958511-235069,오의진,010-6321-2047,943890@naver.com,40563,군산시,26,0,350100,350000,126.22106,37.32976
922883-139477,곽순유,010-1398-4320,821520@naver.com,92676,종로구,29,0,110016,110000,126.855,36.37403
686957-166200,엄선름,010-9972-7878,786197@naver.com,794526,수원팔달구,53,1,310603,310000,127.7688,37.04324
610520-257442,편근소,010-7199-9082,682147@naver.com,117892,#REF!,60,1,#REF!,#REF!,126.02325,37.89603
642333-194241,나현하,010-9819-1339,819789@naver.com,332718,담양군,57,0,360008,360000,127.11914,36.26425
718847-187017,차시언,010-3456-0333,590349@naver.com,64857,경주시,50,0,370100,370000,127.48485,35.92665
867600-295921,하경승,010-7593-5845,216389@naver.com,130988,고양일산서구,35,0,311902,310000,127.07048,35.74767
411387-208954,원도한,010-7788-6092,721356@naver.com,475535,울산중구,80,0,260003,260000,127.38642,36.06262
646560-226179,추하재,010-3632-2239,825884@naver.com,300767,봉화군,57,1,370007,370000,127.66475,36.72766
741262-263511,변병완,010-9065-5103,429200@naver.com,67417,부산기장군,47,0,210100,210000,126.90797,35.78212
575435-261752,도병온,010-2728-4009,591665@naver.com,921706,영광군,64,1,360014,360000,128.52689,37.84872
586611-129698,은태재,010-2893-9773,474497@naver.com,152102,창원군,63,0,380012,380000,126.70276,37.37177
716433-216382,변민호,010-7092-6228,753481@naver.com,706352,여주군,50,0,310010,310000,126.24011,36.09556
844806-143994,나근현,010-4843-1462,155533@naver.com,448109,대구달서구,37,1,230007,230000,126.87011,36.86018
855623-287094,황하미,010-1113-9480,341568@naver.com,526054,김제시,36,0,350600,350000,128.16147,37.08472
491209-141159,황채온,010-1199-5979,837158@naver.com,433397,예천군,72,0,370017,370000,128.13162,36.65844
836697-180156,홍예임,010-6698-9044,608814@naver.com,892,고성군,38,1,380003,380000,126.18902,36.07364
986754-215608,유규채,010-9740-2296,843483@naver.com,965752,수원시,23,1,310600,310000,128.55994,35.61687
537643-287211,박근욱,010-5195-3158,227629@naver.com,993658,전주덕진구,68,1,350402,350000,128.80788,37.50803
630292-233661,염다린,010-1861-4508,693681@naver.com,13557,순창군,58,1,350006,350000,127.1909,37.70313
620956-251671,공원지,010-9040-2929,196505@naver.com,303418,양주군,59,1,310008,310000,128.73058,35.38528
677259-257747,문여세,010-7349-1948,667005@naver.com,638458,부산진구,54,1,210004,210000,128.28723,36.98466
672383-223296,염경준,010-7346-3274,550719@naver.com,806883,포항시,54,1,370700,370000,127.64413,37.73598
858724-279850,유가예,010-8670-2339,557247@naver.com,386687,금산군,36,0,340002,340000,128.57624,37.66726
772737-151291,곽수린,010-1695-5504,333740@naver.com,339856,동작구,44,0,110008,110000,126.18477,35.84058
819979-114108,나윤예,010-9993-0702,725988@naver.com,222679,연기군,40,0,340011,340000,126.80279,35.32331
685218-190911,배초욱,010-3359-9119,228692@naver.com,941900,화천군,53,0,320014,320000,128.58681,37.49998
704941-288971,배한림,010-3862-4146,684132@naver.com,896504,증평군,51,0,330011,330000,127.96751,36.7489
776134-270442,하주수,010-6277-7946,92375@naver.com,767595,양천구,44,1,110020,110000,126.98674,37.31408
576277-237485,서서신,010-6336-8263,932360@naver.com,547602,청주청원구,64,1,330103,330000,128.77208,37.65057
748080-134323,한효경,010-1515-3076,536838@naver.com,535039,성북구,47,1,110012,110000,126.29961,36.29848
836657-131755,표시나,010-7908-2384,95041@naver.com,982454,영월군,38,1,320006,320000,127.10872,37.06248
692618-214550,노채완,010-2766-2182,82357@naver.com,510882,여수시,52,1,360500,360000,128.48363,37.36493
961294-184167,문양서,010-1632-3176,697651@naver.com,940797,안동시,25,0,370400,370000,128.94809,36.45227
890436-109451,여률휘,010-4696-1504,918907@naver.com,163940,울릉군,32,1,370018,370000,127.9868,35.18328
782890-146578,편세은,010-1977-8017,943949@naver.com,94906,부산영도구,43,1,210007,210000,126.83439,36.02504
455468-268889,손희비,010-3990-8006,374350@naver.com,916897,군산시,76,1,350100,350000,126.47511,36.8271
824191-224792,최혜선,010-2056-2537,768236@naver.com,655751,부산강서구,39,1,210012,210000,128.17578,36.9464
931551-188286,차고련,010-6838-5359,852703@naver.com,889489,부산강서구,28,1,210012,210000,128.72428,37.32272
974295-270425,안세진,010-1240-6791,944727@naver.com,745877,옹진군,24,0,310012,310000,126.35047,36.62914
809900-155459,김교기,010-6677-0341,336882@naver.com,223894,부산연제구,41,1,210013,210000,126.19699,36.35911
720183-263729,전지현,010-5557-1781,752217@naver.com,768958,보성군,49,1,360010,360000,126.98492,35.9004
952657-172731,진소당,010-8133-8691,202003@naver.com,839865,천안군,26,1,340013,340000,126.51528,35.07774
610606-236678,여가리,010-7384-9206,294184@naver.com,483773,제천시,60,1,330300,330000,127.71408,36.55515
921185-172465,양근당,010-4130-3347,574216@naver.com,987947,송파구,29,0,110018,110000,127.03963,37.30899
696834-176724,하효예,010-8329-0213,624652@naver.com,946689,하동군,52,0,380016,380000,127.98558,37.36621
898979-132825,문한성,010-2596-9190,416686@naver.com,318478,청주상당구,32,1,330101,330000,127.34645,37.8835
854729-191285,김조정,010-3874-3626,283045@naver.com,893129,계룡시,36,0,340800,340000,126.73298,35.55453
656569-211158,최한성,010-8674-4711,140944@naver.com,109684,울산북구,56,0,260004,260000,126.28564,35.29166
763370-281973,민현화,010-3334-0606,966493@naver.com,646258,양평군,45,1,310009,310000,127.68134,35.53218
715172-194152,신영현,010-9931-3246,358520@naver.com,344966,성남수정구,50,0,310401,310000,128.92881,36.62795
816529-117211,류우영,010-6111-5152,936702@naver.com,342749,고성군,40,0,380003,380000,128.44915,35.7276
569664-284593,나나재,010-8461-0333,613609@naver.com,35572,계룡시,65,1,340800,340000,126.69814,36.16623
570000-128460,편지빈,010-6293-8020,636989@naver.com,43136,고령군,64,1,370002,370000,127.78688,36.67446
720063-283823,구재화,010-1526-5376,219575@naver.com,165611,서천군,49,0,340009,340000,128.83965,36.8051
836865-224020,고슬정,010-5334-7836,10125@naver.com,227324,세종시,38,0,410000,410000,127.15413,37.26432
432456-245105,편도민,010-6680-3483,691313@naver.com,268075,창원군,78,0,380012,380000,127.3228,35.79827
870299-281834,송효지,010-5366-9884,936060@naver.com,932475,익산시,34,1,350300,350000,126.51964,35.2291
841647-245727,송률준,010-3669-2352,601564@naver.com,376955,인천연수구,37,1,220007,220000,126.2139,36.17795
557152-114979,권성늘,010-7889-5592,259496@naver.com,945347,울산중구,66,0,260003,260000,127.75888,36.30802
856976-231011,신의임,010-8429-5888,735240@naver.com,988961,연기군,36,1,340011,340000,127.29589,35.75543
465693-104279,구현련,010-9911-8934,398365@naver.com,510794,양주군,75,1,310008,310000,128.54826,37.04242
889635-239558,염원윤,010-3441-9575,540130@naver.com,102156,해남군,33,1,360021,360000,126.00336,36.48388
791537-110999,여송수,010-5169-9262,88943@naver.com,646065,순창군,42,1,350006,350000,126.24193,36.16498
502850-108998,윤태안,010-8765-9521,283446@naver.com,575480,김제시,71,0,350600,350000,126.67977,37.40906
523557-266403,류성희,010-4831-9584,379800@naver.com,58720,홍천군,69,1,320013,320000,128.20685,36.86654
975645-131906,은기지,010-3642-1532,911736@naver.com,172713,광주광산구,24,1,240004,240000,128.72256,35.30399
957772-205335,백순향,010-3909-4756,930102@naver.com,903145,대구북구,26,1,230003,230000,128.565,35.08673
866016-236967,손희완,010-6357-0281,75732@naver.com,25752,용인수지구,35,0,312002,310000,127.89701,37.50379
784566-143940,도준예,010-5833-9883,817714@naver.com,774094,안양동안구,43,0,310702,310000,128.55816,35.4278
983351-244589,최주옥,010-6780-7168,872027@naver.com,873617,인천중구,23,0,220004,220000,127.54715,35.51679
543525-252833,나한효,010-2113-5163,683422@naver.com,711209,울산남구,67,1,260001,260000,126.88102,36.94112
986997-130610,진조신,010-4973-3176,860268@naver.com,770049,천안동남구,23,1,340202,340000,126.97083,36.17632
865922-172477,지다솔,010-9176-2170,978992@naver.com,374072,고창군,35,0,350001,350000,128.9501,36.36776
851025-204839,엄혜지,010-5658-7439,685101@naver.com,158033,성북구,36,1,110012,110000,127.78244,36.96477
766574-183761,신슬빈,010-4337-7019,316331@naver.com,837400,강남구,45,0,110001,110000,127.58112,36.45366
860982-252721,오승휘,010-2546-8528,924662@naver.com,231848,울산동구,35,0,260002,260000,127.20554,36.15248
659887-201010,표희주,010-2132-1569,892365@naver.com,791407,용인기흥구,56,1,312001,310000,128.02819,36.98534
564864-297942,이조휘,010-6704-7627,450264@naver.com,708287,홍성군,65,0,340015,340000,126.04549,37.51758
651705-242698,김규휘,010-3695-7339,771492@naver.com,19473,순천시,56,0,360400,360000,127.44775,36.76756
806276-185994,송교란,010-3191-0389,438360@naver.com,108583,제천군,41,1,330007,330000,128.4666,36.86798
793830-288230,백한주,010-7823-9039,941121@naver.com,45053,고흥군,42,0,360002,360000,128.58016,35.88967
892945-110251,서하소,010-2805-4765,743868@naver.com,311626,금산군,32,0,340002,340000,128.42883,35.21305
971652-224081,윤양하,010-7583-9868,14143@naver.com,943536,거제시,24,0,381000,380000,127.77919,37.58067
985414-175117,유은래,010-8658-3864,434907@naver.com,812311,음성군,23,1,330006,330000,128.39089,36.6327
648679-234489,공진우,010-8442-8479,718412@naver.com,945297,대구동구,57,1,230002,230000,127.05369,37.47187
478502-149912,구상예,010-9260-6638,508640@naver.com,373297,영양군,74,0,370013,370000,126.92594,37.29838
936893-276576,손시예,010-5641-7889,169114@naver.com,799478,사천군,28,0,380007,380000,128.27253,37.50623
825999-160756,박여세,010-3765-4524,400300@naver.com,315022,제주시,39,0,390200,390000,126.16005,35.49869
499292-208410,홍영호,010-7722-9320,852370@naver.com,682327,공주시,72,0,340300,340000,126.3686,35.1926
708874-130343,배휘민,010-5451-6584,685856@naver.com,592437,상주시,51,1,370900,370000,127.19718,37.36951
539244-272554,장하솔,010-9467-6390,846671@naver.com,519370,고양일산동구,68,1,311903,310000,127.81338,37.52723
629076-273062,진률교,010-5956-8876,290789@naver.com,624584,계룡시,59,1,340800,340000,128.67972,35.27366
486773-161593,노우지,010-8281-2247,978414@naver.com,777055,단양군,73,0,330002,330000,127.8321,36.81475
767232-144341,장세화,010-3336-2026,895314@naver.com,68882,성주군,45,1,370010,370000,127.51975,35.68109
858034-194499,박성예,010-5108-7733,111250@naver.com,341523,영양군,36,0,370013,370000,127.83366,35.68951
675642-288000,도송나,010-7464-6687,728975@naver.com,543551,부산동구,54,1,210002,210000,126.54616,37.33397
438159-281439,여지주,010-6930-3197,491942@naver.com,951436,화천군,78,0,320014,320000,127.19533,36.03177
765360-297527,박우임,010-4338-1785,48426@naver.com,180477,인천연수구,45,0,220007,220000,127.53238,37.99042
674992-278959,손정우,010-9136-8150,650502@naver.com,926652,함평군,54,1,360020,360000,128.74401,35.43676
602313-173044,박이이,010-9574-3780,810226@naver.com,944245,동해시,61,1,320200,320000,128.69356,36.38216
876927-132176,강원은,010-9220-7529,412913@naver.com,42316,고성군,34,1,380003,380000,128.28892,37.37721
541512-172551,송의래,010-5117-1315,8477@naver.com,560748,대구동구,67,0,230002,230000,128.07642,36.19815
777935-267725,고혜호,010-3789-4653,471348@naver.com,361382,창녕군,44,1,380014,380000,127.2506,35.09926
434209-205180,추한효,010-8801-6566,375897@naver.com,934294,함양군,78,0,380018,380000,127.30591,35.78466
467601-210793,황지우,010-9574-3335,813570@naver.com,683869,영광군,75,1,360014,360000,127.82711,36.10262
616130-276783,방준아,010-4496-2502,545578@naver.com,388682,산청군,60,0,380008,380000,128.68099,36.38295
477897-120377,오여령,010-9633-4186,520436@naver.com,815625,양산시,74,0,381100,380000,126.32343,35.99029
983709-140470,배연서,010-4283-2168,857869@naver.com,529304,군위군,23,1,370003,370000,126.27817,36.22271
482959-221780,한소호,010-5721-6439,319035@naver.com,598057,여주시,73,0,312900,310000,128.1656,35.76901
800849-264919,강솔은,010-5290-4154,880368@naver.com,445316,태안군,41,0,340016,340000,128.07568,37.75117
927727-116093,황우옥,010-8821-5327,984725@naver.com,591926,천안서북구,29,1,340201,340000,126.40042,35.35833
719741-273822,황주향,010-1496-3867,295120@naver.com,197717,충주시,50,1,330200,330000,127.64978,35.6578
028131-144132,양명준,010-8721-7895,69850@naver.com,868233,영양군,18,0,370013,370000,128.5593,36.85782
029997-139139,원동휘,010-6485-0356,750591@naver.com,451330,안양만안구,18,1,310701,310000,128.35714,35.61167
039301-241822,김준유,010-1335-8685,75669@naver.com,234404,문경시,17,0,370800,370000,128.832,36.00539
012461-161997,안세솔,010-9915-5224,165364@naver.com,107953,천안군,19,1,340013,340000,127.20667,36.00573
060853-239650,공채비,010-7135-3097,931417@naver.com,59033,서초구,14,1,110021,110000,126.16856,35.88522
041695-159989,백보정,010-5174-9705,91084@naver.com,587929,양구군,16,0,320004,320000,127.36136,36.13122
016561-222419,최아련,010-6595-7851,235592@naver.com,447275,진주시,19,0,380500,380000,128.37128,36.4346
011454-269822,조규경,010-5495-7349,914645@naver.com,121980,창원성산구,19,0,380705,380000,128.11294,37.17769
010461-227410,은아성,010-8966-6661,806926@naver.com,137253,고흥군,19,0,360002,360000,127.47014,35.37425
060587-170476,배원미,010-6044-0289,231372@naver.com,267150,마포구,14,1,110009,110000,128.57181,36.95988
007756-132169,하하준,010-4242-2016,897583@naver.com,331103,부산서구,20,0,210006,210000,126.10796,36.57444
035925-157198,손현소,010-6461-5104,367801@naver.com,980298,완주군,17,0,350008,350000,126.18819,36.08822
041905-160463,정해래,010-1060-6101,880838@naver.com,526208,청원군,16,1,330010,330000,128.22691,35.30781
074534-107547,전보희,010-9463-6905,278411@naver.com,911442,송탄시,13,0,310500,310000,126.28226,35.6259
039552-250309,공교한,010-9742-9278,910629@naver.com,80446,제천시,17,1,330300,330000,126.47903,37.51197
017672-268671,공여윤,010-1427-4517,334469@naver.com,731713,아산시,19,1,340500,340000,127.23152,35.1393
022333-269062,방예래,010-1287-4920,796341@naver.com,818837,제천군,18,0,330007,330000,126.25424,35.44146
014507-131469,진시언,010-2665-5626,18076@naver.com,820788,진주시,19,1,380500,380000,128.11154,36.65185
051289-104835,남이교,010-7338-8469,528009@naver.com,353584,속초시,15,1,320300,320000,127.51804,37.80361
057272-223938,주명욱,010-8345-3430,187711@naver.com,853262,울진군,15,0,370019,370000,128.50002,37.17193
068552-122165,최혜지,010-9771-3389,620512@naver.com,740464,청원군,14,0,330010,330000,127.39177,37.30042
070726-228755,윤명선,010-2728-7366,91752@naver.com,609881,의왕시,13,1,311600,310000,128.83563,37.0098
068218-197903,이태혜,010-1139-5164,509422@naver.com,579696,안동시,14,0,370400,370000,128.31851,37.66751
062796-146832,은영유,010-6531-2885,106052@naver.com,376062,구리시,14,1,311000,310000,128.41841,36.44322
027493-252658,이서기,010-9792-4860,579481@naver.com,259233,김천시,18,1,370300,370000,127.40977,36.27813
069324-181546,엄솔아,010-2917-3615,694445@naver.com,893304,부산영도구,14,0,210007,210000,127.7424,35.24544
050705-173918,석송옥,010-4350-8105,194796@naver.com,204077,창원의창구,15,0,380704,380000,126.5497,35.23795
053628-157081,지규지,010-9244-3195,318557@naver.com,522778,김해군,15,0,380004,380000,127.97417,36.52733
044874-219316,전조지,010-2387-8219,519050@naver.com,85324,태백시,16,1,320600,320000,127.82535,37.89253
023889-295638,홍상미,010-4837-6896,974737@naver.com,647329,영월군,18,0,320006,320000,126.11329,35.19962
025647-246933,석근채,010-5106-5384,590062@naver.com,31522,순천시,18,1,360400,360000,127.23733,35.63891
017162-294548,표휘송,010-1353-0580,651514@naver.com,785046,동대문구,19,0,110007,110000,126.1974,36.78311
040595-292493,진민화,010-2437-0484,639733@naver.com,843867,울산울주군,16,0,260100,260000,126.45501,36.27944
052806-188501,이경영,010-3258-0178,440578@naver.com,82164,진주시,15,0,380500,380000,128.97863,37.51523
066852-107177,전교채,010-1858-9107,934751@naver.com,458986,광양시,14,0,360700,360000,127.75632,36.90801
064457-266667,황초온,010-1010-1329,554291@naver.com,13810,당진군,14,0,340004,340000,126.80714,36.31201
074332-120180,엄슬온,010-9296-1644,169494@naver.com,331833,영동군,13,0,330004,330000,127.46811,36.87179
008443-130869,장지비,010-5853-8239,649873@naver.com,124936,안동시,20,0,370400,370000,127.93992,36.99147
009602-202689,하솔민,010-3167-5730,127671@naver.com,261044,안산단원구,20,1,311101,310000,127.11477,35.34662
030001-110424,문윤지,010-4079-6933,287243@naver.com,514859,화성시,17,0,312500,310000,128.21196,36.84996
022504-108814,류선인,010-1092-8509,579124@naver.com,955093,부산서구,18,0,210006,210000,126.87793,36.82942
063163-105957,탁채래,010-8816-0037,871860@naver.com,420236,부천시,14,1,310300,310000,126.67873,35.02976
053519-261765,손성름,010-7039-4098,193547@naver.com,95951,포항남구,15,1,370701,370000,126.94783,35.93104
049808-130857,오김진,010-4565-9633,965692@naver.com,871758,안산단원구,16,1,311101,310000,126.67046,35.97681
067398-141633,정해당,010-9556-9872,894324@naver.com,175338,송파구,14,1,110018,110000,127.53229,37.30656
045492-286778,유명임,010-7502-4026,599921@naver.com,550040,대구동구,16,0,230002,230000,126.3652,35.96308
049076-114771,장연율,010-8788-2783,366795@naver.com,637954,영암군,16,0,360015,360000,126.70442,37.65502
015289-187180,이슬아,010-5782-1797,1612@naver.com,26971,성남분당구,19,0,310403,310000,126.19846,37.70923
045060-268323,강주운,010-5461-1132,701650@naver.com,90915,인천남구,16,1,220001,220000,127.27383,35.51606
029723-157875,엄슬미,010-1811-5633,682173@naver.com,400145,부산강서구,18,0,210012,210000,126.49636,35.74872
041648-215116,홍나세,010-2890-6987,418039@naver.com,124854,영일군,16,1,370014,370000,126.29449,35.21594
050961-138926,허고완,010-3167-8707,184974@naver.com,409714,고성군,15,1,320001,320000,127.68243,37.46508
002439-212546,양양세,010-6664-2134,907020@naver.com,331398,오산시,20,1,311800,310000,128.7392,35.49303
001754-210460,강태린,010-7792-9391,556709@naver.com,172164,예산군,20,1,340012,340000,127.21632,37.03458
020390-157398,곽예린,010-5066-6845,59062@naver.com,114970,경주시,18,0,370100,370000,127.03031,36.92174
032998-239773,차혜운,010-3670-2422,971254@naver.com,326812,안산단원구,17,1,311101,310000,127.53243,37.25842
027656-295152,구예빈,010-4687-7941,356542@naver.com,828612,울산북구,18,1,260004,260000,126.5677,35.68703
068483-290703,윤근아,010-8877-4554,113456@naver.com,31172,창녕군,14,1,380014,380000,128.15859,35.89304
039220-234790,문김유,010-6392-8923,434663@naver.com,812338,강동구,17,1,110002,110000,126.28731,37.80199
009875-283176,박동련,010-4455-8694,910286@naver.com,500945,용인기흥구,20,1,312001,310000,128.85128,36.77643
066729-161567,탁순향,010-6879-4625,279863@naver.com,168744,성동구,14,1,110011,110000,126.35242,35.98734
057113-112546,차률늘,010-2510-6741,342128@naver.com,629288,고양일산동구,15,0,311903,310000,126.87918,35.51777
015460-134970,류병비,010-8195-9728,264674@naver.com,314704,부산금정구,19,0,210011,210000,127.39795,36.55419
014814-257313,표우름,010-5571-7582,124461@naver.com,515494,동해시,19,0,320200,320000,128.36347,37.54422
051019-278741,신해비,010-1961-2300,58723@naver.com,967494,부산사하구,15,1,210010,210000,126.21258,35.27906
022827-245422,류소승,010-1037-4456,53494@naver.com,588752,수원영통구,18,1,310604,310000,128.64325,36.00891
055246-283218,변태율,010-8978-9457,873682@naver.com,503238,가평군,15,1,310001,310000,128.11323,35.4156
074569-236074,남명임,010-6285-3762,17685@naver.com,698811,부산북구,13,1,210005,210000,128.05375,35.66054
037100-279607,차비세,010-1112-3745,944057@naver.com,431973,청원군,17,0,330010,330000,126.18425,37.463
047226-265854,전이주,010-2518-2087,661744@naver.com,337974,광주서구,16,0,240003,240000,126.90331,37.21826
061558-289074,류미안,010-1416-4410,514968@naver.com,623987,#REF!,14,0,#REF!,#REF!,127.07035,36.58595
014023-151459,구초기,010-3495-3739,802994@naver.com,421252,수원팔달구,19,0,310603,310000,127.79024,36.82393
028228-244115,문미림,010-9521-2498,9412@naver.com,954428,장흥군,18,1,360018,360000,126.45642,37.83
056210-244340,추진채,010-9139-0254,27408@naver.com,81634,칠곡군,15,0,370024,370000,126.01463,37.51551
069520-141775,황민원,010-8612-6717,193152@naver.com,259343,포항북구,14,1,370702,370000,127.01577,37.60946
057948-125789,전유기,010-6613-2662,732553@naver.com,583627,영양군,15,1,370013,370000,126.78989,37.76975
013007-196146,추비채,010-1236-0650,447626@naver.com,803600,제주시,19,1,390200,390000,128.13416,37.41775
069749-281979,조혜연,010-9094-9077,940224@naver.com,498224,제천시,14,0,330300,330000,128.33449,36.79341
054499-124063,류수아,010-3127-3192,66828@naver.com,194149,평창군,15,1,320012,320000,128.8567,37.46463
006899-240964,박김은,010-3649-8429,427009@naver.com,645453,울진군,20,0,370019,370000,127.94264,37.35941
044986-248117,민세신,010-8245-5427,466807@naver.com,728379,창원진해구,16,1,380703,380000,127.60229,35.66865
074347-159132,서이채,010-3387-8967,22814@naver.com,811653,인천옹진군,13,1,220200,220000,126.84564,37.74885
030919-225961,은선소,010-9388-2817,163251@naver.com,63915,인천강화군,17,1,220100,220000,128.81444,35.38542
050092-284972,문지이,010-7320-4601,641134@naver.com,935986,성남중원구,15,0,310402,310000,126.11713,36.25979
000699-149686,양한소,010-6447-9011,210645@naver.com,149041,보령시,20,0,340400,340000,126.66295,37.8244
057656-299681,방혜늘,010-5728-7169,958428@naver.com,574139,신안군,15,1,360012,360000,126.78335,35.34606
